County,Date of  Incident,Practice  Review?,Notification,90 Day,6 Month,age,gender,in_home,out_home,Serious Injury,Death / Alleged maltreatment,Egregious incident,Death / Alleged suicide in out-of-home care,status
Rock,2022-02-01,No,220201DSP-Rock-1138,220201DSP-Rock-1138-90D,No,1,F,False,True,False,True,False,False,Done
Sheboygan,2022-03-30,No,220330DSP-Sheb-1137,220330DSP-Sheb-1137-90D,No,8,M,False,True,True,False,False,False,Done
Rock,2022-03-18,No,220318DSP-Rock-1136,220318DSP-Rock-1136-90D,No,,M,False,True,False,True,False,False,Done
Manitowoc,2022-03-21,No,220316DSP-Mani-1135,220316DSP-Mani-1135-90D,No,5,F,False,True,False,True,False,False,Done
Vernon,2022-03-08,No,220308DSP-Vern-1134,220308DSP-Vern-1134-90D,No,,Missing,False,True,True,False,False,False,Done
Dane,2022-03-07,No,220307DSP-Dane-1133,220307DSP-Dane-1133-90D,No,11,M,False,True,True,False,False,False,Done
Iowa,2022-02-25,No,220225DSP-Iowa-1132,220225DSP-Iowa-1132-90D,No,,Missing,False,True,True,False,False,False,Done
Milwaukee,2022-02-19,No,220219DSP-Milw-1131,220219DSP-Milw-1131-90D,No,12,F,False,True,False,True,False,False,Done
Milwaukee,2022-02-14,No,220214DSP-Milw-1130,220214DSP-Milw-1130-90D,No,,F,False,True,True,False,False,False,Done
Oneida,2022-02-20,No,220220DSP-Onei-1129,220220DSP-Onei-1129-90D,No,,M,False,True,True,False,False,False,Done
Milwaukee,2021-11-08,No,211108DSP-Milw-1128,211108DSP-Milw-1128-90D,No,,,,,,,,,No PDF
Winnebago,2022-02-15,Yes,220215DSP-Winn-1127,220215DSP-Winn-1127-90D,220215DSP-Winn-1127-6M,,M,False,True,True,False,False,False,Done
Milwaukee,2022-02-10,No,220210DSP-Milw-1126,220210DSP-Milw-1126-90D,No,,M,False,True,False,True,False,False,Done
Milwaukee,2022-02-10,No,220210DSP-Milw-1125,220210DSP-Milw-1125-90D,No,10,F,False,True,False,True,False,False,Done
Pier,2022-02-05,Yes,220205DSP-Pier-1124,220205DSP-Pier-1124-90D,220205DSP-Pier-1124-6M,2w,F,False,True,False,True,False,False,Done
St. Croix,2022-02-04,Yes,220204DSP-StCro-1123,220204DSP-StCro-1123-90D,No,7w,F,False,True,True,False,False,False,Done
Dane,2022-01-31,No,220131DSP-Dane-1122,220131DSP-Dane-1122-90D,No,,F,False,True,False,True,False,False,Done
Waupaca,2022-01-29,No,220129DSP-Waup-1121,220129DSP-Waup-1121-90D,No,6w,M,False,True,False,False,True,False,Done
Rock,2022-01-26,No,220126DSP-Rock-1120,220126DSP-Rock-1120-90D,No,12,M,False,True,False,False,True,False,Done
Kenosha,2022-01-25,No,220125DSP-Keno-1119,220125DSP-Keno-1119-90D,No,,M,False,True,False,True,False,False,Done
Douglas,2022-01-19,No,220114DSP-Doug-1118,220114DSP-Doug-1118-90D,No,11,F,False,True,False,True,False,False,Done
Milwaukee,2022-01-19,No,220115DSP-Milw-1117,220115DSP-Milw-1117-90D,No,8,F,False,True,False,True,False,False,Done
Racine,2022-01-19,No,220115DSP-Racin-1116,220115DSP-Racin-1116-90D,No,,M,False,True,True,False,False,False,Done
Manitowoc,2022-01-12,Yes,220112DSP-Mani-1115,220112DSP-Mani-1115-90D,220112DSP-Mani-1115-6M,3w,F,False,True,True,False,False,False,Done
Milwaukee,2022-01-06,No,220106DSP-Milw-1114,220106DSP-Milw-1114-90D,No,14,F,False,True,False,False,True,False,Done
Milwaukee,2021-12-30,Yes,211230DSP-Milw-1113,211230DSP-Milw-1113-90D,211230DSP-Milw-1113-6M,8,M,False,True,False,True,False,False,Done
Milwaukee,2021-12-28,Yes,211228DSP-Milw-1112,211228DSP-Milw-1112-90D,211228DSP-Milw-1112-6M,16,F,False,True,False,True,False,False,Done
Brown,2021-12-27,No,211227DSP-Brown-1111,211227DSP-Brown-1111-90D,No,,M,False,True,False,True,False,False,Done
Vilas,2021-12-03,Yes,211203DSP-Vilas-1110,211203DSP-Vilas-1110-90D,211203DSP-Vilas-1110-6M,6,M,False,True,False,True,False,False,Done
